id;type;title;description;town;zone;price;surface;rooms;bathrooms;floor;longitude;latitude;url;exact_position;recently_date;is_promo;image_url;owner_name;old_price
18395741236.519789;Piso ;Piso en La Seu-Monti-Sion-Puerto;Altura piso 8º, piso superficie total 183 m², superficie útil 160 m², habitaciones dobles: 4, 2 baños, adaptado a personas con dis...;Distrito Centre. Palma de Mallorca;La Seu-Monti-sion-Puerto;595.000 €;;4 habs.;2 baños;8ª planta;2.6310658;39.5741531;/comprar/piso-la_seu_monti_sion_puerto07013-18395741236_519789/;False;Hace 4 días;;https://fotos.imghs.net/mm/519789/18395741236.519789/519789_18395741236_1_20211001104010902.jpg;SANDBERG ESTATES;625.000 €
69208451788.101600;Piso ;Piso en Centre - La Llotja - Sant Jaume;"Piso en casa señorial de san jaime
Primer piso del que se accede por un precioso patio mallorquín, se caracteriza por la tranquil...";Distrito Centre. Palma de Mallorca;Sant Jaume;450.000 €;;4 habs.;1 baño;135 m²;2.649177;39.5731327;/comprar/piso-sant_jaume07003-69208451788_101600/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1018/641/1018_10536641_0_2021092905093106086.jpg;Inmobiliaria Jaime III;
15006998952.106700;Piso ;Piso en Santa Catalina;Fantástico piso de tres dormitorios en la cotizada zona de santa catalina, se distribuye en un recibidor del cual podemos acceder ...;Distrito Centre. Palma de Mallorca;Cort;265.000 €;103 m²;3 habs.;1 baño;;2.651245;39.5699322;/comprar/piso-cort07001-15006998952_106700/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1067/080/1067_IFC76096-0518082080_1_2021062610193031250.jpg;IIC MALLORCA;279.000 €
10932383717.100500;Piso ;Piso en Sindicat;Red pone a la venta este moderno y céntrico piso en la zona de sindicat, palma de mallorca. .  .  Este inmueble resulta atractivo ...;Distrito Centre. Palma de Mallorca;Sindicat;370.000 €;;2 habs.;2 baños;1ª planta;2.655359901;39.570810887;/comprar/piso-sindicat07002-10932383717_100500/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1005/074/1005_112457687074_1_2021013122015696400.jpg;RED Real Estate Disruptive;
9201439133.399900;Piso ;Piso en Carrer Berenguer de Tornamira;Se vende entresuelo junto paseo mallorca en calle berenguer de tornamira. Con 118.75 metros construidos, la vivienda está bien con...;Distrito Centre. Palma de Mallorca;Jaume III;299.500 €;;2 habs.;1 baño;Entresuelo;2.6425739;39.5718717;/comprar/piso-jaume_iii-9201439133_399900/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/3999/9201439133.399900/3999_9201439133_3_20201127131436567.jpg;DURENDESA®;
16701728852.106700;Casa ;Casa en Cort;Se venda esta villa en estilo mediterráneo sobre una parcela de 2600 m² en ladera. La villa dispone de una piscina infinita con vi...;Distrito Centre. Palma de Mallorca;Cort;6.000.000 €;;;;800 m²;2.651245;39.5699322;/comprar/casa-cort07001-16701728852_106700/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1067/949/1067_IFC76096-0518804949_1_2021082410222231250.jpg;IIC MALLORCA;
13419508241.100500;Piso ;Piso en Plaça dels Patins;"Piso muy céntrico en calle francesc de borja moll junto a carrer sant miquel y plaza españa.

 La propiedad dispone de un total de...";Distrito Centre. Palma de Mallorca;Plaça dels Patins;699.000 €;;4 habs.;2 baños;5ª planta;2.6509174;39.5775657;/comprar/piso-placa_dels_patins07003-13419508241_100500/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1005/592/1005_118130324592_1_2021100602105634501.jpg;MCM PROPERTIES;
13393612936.101800;Piso ;Piso en Centre - Mercat  - La Missió - Plaça Dels Patins;Piso recién reformado en centro histórico, 100m² aprox., salón comedor, cocina amueblada y equipada, 3 habitaciones, 2 baños (1 en...;Distrito Centre. Palma de Mallorca;Plaça dels Patins;777.000 €;100 m²;3 habs.;2 baños;;2.6478935;39.5755298;/comprar/piso-placa_dels_patins07003-13393612936_101800/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1018/227/1018_27734227_1_2021092913095859665.jpg;BALEAR INVEST;
82598161178.101600;Dúplex ;Dúplex en Centre - La Llotja - Sant Jaume;Piso tipo  duplex distribuida  en planta entresuelo y semisòtano   forma parte de un edificio singular en pleno casco antiguo con ...;Distrito Centre. Palma de Mallorca;Sant Jaume;395.000 €;;1 hab.;1 baño;170 m²;2.6492626;39.5730071;/comprar/duplex-sant_jaume07003-82598161178_101600/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1018/360/1018_14215360_0_2021092907093104861.jpg;DARDERINMO;
17516233485.519789;Piso ;Piso en La Seu-Monti-Sion-Puerto;Superficie total 182 m², piso superficie útil 107 m², habitaciones dobles: 3, 3 baños, aire acondicionado (frío y calor), antigüed...;Distrito Centre. Palma de Mallorca;La Seu-Monti-sion-Puerto;895.000 €;;3 habs.;3 baños;Bajo;2.6368628;39.573715;/comprar/piso-la_seu_monti_sion_puerto07013-17516233485_519789/;False;Hace 1 mes;;https://fotos.imghs.net/mm/519789/17516233485.519789/519789_17516233485_16_20210917120028564.jpg;SANDBERG ESTATES;
15000784315.106700;Chalet ;Chalet en Son Serra-La Vileta;Chalet adosado de 212 m² en la vileta con garaje para dos coches y patio. Consta de amplio recibidor, cocina independiente, salón-...;Distrito Centre. Palma de Mallorca;Cort;520.000 €;;3 habs.;3 baños;215 m²;2.6507942;39.5705217;/comprar/chalet-cort07001-15000784315_106700/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1067/098/1067_IFC76093-0517987098_1_2021062213482331250.jpg;INMOURBAN;
2589790470.101800;Piso ;Piso en Centre - Mercat  - La Missió - Plaça Dels Patins;En el centro de palma se ubica este piso en finca señorial con ascensor. Transportes, colegios y todos los servicios necesarios al...;Distrito Centre. Palma de Mallorca;Mercat;595.000 €;;;3 baños;238 m²;2.6544862;39.5745984;/comprar/piso-mercat-2589790470_101800/;False;Hace más de 1 mes;;https://fotos.imghs.net/mm/1018/834/1018_20545834_0_2021092909091503760.jpg;INMOMALIA;
18397803065.101800;Apartam;Apartamento en Centre - Cort;Apartamento en centro histórico, 110m² aprox., salón comedor, cocina amueblada y equipada, 2 habitaciones dobles, armarios, 2 baño...;Distrito Centre. Palma de Mallorca;Cort;675.000 €;110 m²;2 habs.;2 baños;;2.651245;39.5699322;/comprar/apartamento-cort07001-18397803065_101800/;False;Hace 3 semanas;;https://fotos.imghs.net/mm/1018/473/1018_29263473_1_2021100614102480794.jpg;BALEAR INVEST;
